Department, Average Unweighted Rating, Average Unweighted Difficulty, Average Unweighted 'Would Take Again' %
Mathematics, 3.498048780487806, 3.117073170731706, 49.18705219512195
Biology, 3.5612903225806463, 3.2677419354838713, 52.20124758064517
Writing, 4.276086956521739, 2.544202898550725, 55.930926086956525
History, 3.7915384615384617, 2.8730769230769235, 49.65806846153846
English, 3.991596638655463, 2.778151260504202, 47.237673949579836
Psychology, 3.88849557522124, 2.799115044247787, 55.73150619469026
Statistics, 3.087500000000001, 3.3946428571428564, 38.488286607142854
Sociology, 3.8288461538461536, 2.759615384615384, 47.631384615384604
Economics, 3.4364583333333347, 3.38125, 44.82099999999999
Chemistry, 3.413953488372093, 3.4325581395348834, 46.12695232558141
Philosophy, 4.018604651162791, 2.798837209302327, 43.30366744186047
Music, 4.113580246913579, 2.458024691358024, 46.72225679012345
Physics, 3.3600000000000008, 3.3525, 42.048525000000005
Computer Science, 3.563855421686748, 3.291566265060241, 55.57602289156627
Communication, 4.032394366197184, 2.8112676056338026, 59.199235211267606
Geography, 3.7815789473684207, 2.7315789473684204, 47.90530131578948
Political Science, 3.6960526315789473, 3.1960526315789473, 45.24663552631579
Anthropology, 3.7970149253731362, 2.8537313432835822, 44.96238805970149
Engineering, 3.5253968253968266, 3.2619047619047623, 46.71089523809524
Languages, 4.0296875, 2.462500000000001, 45.786739062500004
Art, 3.525641025641025, 3.048717948717948, 44.0355717948718
Film, 3.5877551020408167, 3.028571428571428, 44.88965510204082
Geology, 3.816326530612245, 2.906122448979592, 47.377240816326534
Education, 3.8977777777777787, 2.2666666666666666, 56.657784444444445
Spanish, 4.073333333333333, 2.7777777777777772, 64.17325333333334
Religion, 4.109302325581396, 2.713953488372093, 43.870018604651165
Religious Studies, 4.056756756756758, 2.6594594594594594, 77.14373513513515
Environmental Science & Mgmt., 3.8885714285714283, 2.674285714285714, 60.51566285714285
Theater, 4.094285714285714, 2.608571428571429, 58.11564571428572
Linguistics, 3.7571428571428562, 2.9309523809523808, 64.28646904761904
Classics, 4.155, 2.6975, 54.00792750000001
Literature, 3.6878787878787884, 2.96969696969697, 58.16677575757575
Mechanical Engineering, 3.8290322580645157, 2.9999999999999996, 50.34214838709678
Fine Arts, 3.5111111111111115, 3.0740740740740735, 42.331629629629624
Electrical & Comp. Engineering, 3.7319999999999998, 3.1359999999999997, 63.050276000000004
Science, 3.538461538461538, 3.1192307692307697, 44.21306153846154
Global Studies, 3.595833333333333, 2.808333333333333, 45.90810833333333
Chicano Studies, 3.9, 2.4874999999999994, 57.484970833333335
Ethnic Studies, 3.553846153846154, 2.9923076923076923, 51.24142307692308
Feminist Studies, 3.879166666666667, 2.1874999999999996, 73.52513333333333
Spanish & Portuguese, 4.052631578947367, 2.694736842105263, 49.01023157894737
Women's Studies, 3.8000000000000007, 2.6500000000000004, 55.904255
Chemical Engineering, 3.7649999999999997, 3.5550000000000006, 69.064595
Black Studies, 3.8058823529411767, 2.7411764705882358, 64.1149294117647
French, 4.110526315789474, 2.7578947368421054, 79.01211578947368
Art History, 3.4894736842105263, 2.8947368421052633, 46.47414736842105
East Asian Languages & Cultures, 4.541666666666667, 2.6333333333333333, 84.86110833333333
Germanic & Russian Studies, 4.075, 2.2874999999999996, 54.93803750000001
Business, 4.159999999999999, 2.7199999999999998, 76.37058999999999
Asian American Studies, 4.05, 2.7166666666666663, 69.18815833333333
Law, 3.7181818181818174, 2.772727272727273, 20.480518181818184
French & Italian, 4.39090909090909, 2.190909090909091, 70.78197272727272
Social Science, 3.842857142857142, 2.771428571428572, 55.043957142857145
Accounting, 3.742857142857143, 3.157142857142857, 69.52972857142856
Exercise & Sport Studies, 4.05, 1.9125, 28.482
Environmental Science  Mgmt., 3.9875, 2.7125, 81.8452375
African-American Studies, 3.7500000000000004, 2.516666666666667, 35.69048333333333
Spanish  Portuguese, 4.449999999999999, 2.8375, 62.125
Physical Ed, 3.975, 2.4375, 62.125
Comparative Literature & Lang, 4.433333333333334, 2.6666666666666665, 85.9649
Electrical  Comp. Engineering, 3.8, 3.725, 56.996375
Humanities, 4.283333333333333, 2.2833333333333337, 86.11111666666666
Global & International Studies, 3.88, 2.4, 78.32480000000001
Biochemistry, 3.1399999999999997, 3.8600000000000003, 31.8
French  Italian, 4.3, 3.0, 86.66666666666667
Information Science, 3.875, 1.85, 68.5
Physical Education, 4.5, 1.9, 74.75
Environmental Science, 3.9999999999999996, 2.8249999999999997, 17.25
Management, 2.95, 2.4, 50.0
International Studies, 3.0999999999999996, 2.85, 40.0
Exercise  Sport Studies, 4.3999999999999995, 1.9333333333333333, 60.77776666666667
Finance, 3.85, 3.8, 83.33335
Health Science, 4.35, 2.05, 49.5
Architecture, 3.25, 3.05, 32.25805
Theology, 3.95, 2.75, 78.26085
Global  International Studies, 2.2, 3.4, 18.75
Life Science, 3.6, 3.2, 71.4286
Graphic Arts, 4.0, 2.9, 100.0
Environmental Studies, 4.6, 2.4, 100.0
