Department, Average Unweighted Rating, Average Unweighted Difficulty, Average Unweighted 'Would Take Again' %
Mathematics, 3.498048780487806, 3.117073170731706, 49.18705219512195
Biology, 3.5612903225806463, 3.2677419354838713, 52.20124758064517
Writing, 4.276086956521739, 2.544202898550725, 55.930926086956525
History, 3.7915384615384617, 2.8730769230769235, 49.65806846153846
English, 3.991596638655463, 2.778151260504202, 47.237673949579836
Psychology, 3.88849557522124, 2.799115044247787, 55.73150619469026
Statistics, 3.087500000000001, 3.3946428571428564, 38.488286607142854
Sociology, 3.8288461538461536, 2.759615384615384, 47.631384615384604
Economics, 3.4364583333333347, 3.38125, 44.82099999999999
Chemistry, 3.413953488372093, 3.4325581395348834, 46.12695232558141
Philosophy, 4.018604651162791, 2.798837209302327, 43.30366744186047
Music, 4.113580246913579, 2.458024691358024, 46.72225679012345
Physics, 3.3600000000000008, 3.3525, 42.048525000000005
Computer Science, 3.563855421686748, 3.291566265060241, 55.57602289156627
Communication, 4.032394366197184, 2.8112676056338026, 59.199235211267606
Geography, 3.7815789473684207, 2.7315789473684204, 47.90530131578948
Political Science, 3.6960526315789473, 3.1960526315789473, 45.24663552631579
Anthropology, 3.7970149253731362, 2.8537313432835822, 44.96238805970149
Engineering, 3.5253968253968266, 3.2619047619047623, 46.71089523809524
Art, 3.525641025641025, 3.048717948717948, 44.0355717948718
Film, 3.5877551020408167, 3.028571428571428, 44.88965510204082
Spanish, 4.073333333333333, 2.7777777777777772, 64.17325333333334
Religious Studies, 4.083029541, 2.686706474, 60.50687687
Theater, 4.094285714285714, 2.608571428571429, 58.11564571428572
Linguistics, 3.7571428571428562, 2.9309523809523808, 64.28646904761904
Classics, 4.155, 2.6975, 54.00792750000001
Literature, 3.6878787878787884, 2.96969696969697, 58.16677575757575
Mechanical Engineering, 3.8290322580645157, 2.9999999999999996, 50.34214838709678
Fine Arts, 3.5111111111111115, 3.0740740740740735, 42.331629629629624
Electrical & Comp. Engineering, 3.7319999999999998, 3.1359999999999997, 63.050276000000004
Global Studies, 3.595833333333333, 2.808333333333333, 45.90810833333333
Chicano Studies, 3.9, 2.4874999999999994, 57.484970833333335
Feminist Studies, 3.879166666666667, 2.1874999999999996, 73.52513333333333
Chemical Engineering, 3.7649999999999997, 3.5550000000000006, 69.064595
Black Studies, 3.8058823529411767, 2.7411764705882358, 64.1149294117647
French, 4.110526315789474, 2.7578947368421054, 79.01211578947368
Art History, 3.4894736842105263, 2.8947368421052633, 46.47414736842105
East Asian Cultural Studies, 4.541666666666667, 2.6333333333333333, 84.86110833333333
German/Russian, 4.075, 2.2874999999999996, 54.93803750000001
Asian American Studies, 4.05, 2.7166666666666663, 69.18815833333333
Exercise & Sport Studies, 4.05, 1.9125, 28.482
